mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5925247669219971,0.006190835983988588,0.007954994837443033,0.0007248805836758825,0.6,0.5,3,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6}",0.9638261066199333,0.9652371530329583,0.9676431680705523,0.965568809241148,0.0015758566791375097,106
0.6128419240315756,0.009328987305001347,0.008251825968424479,0.0008418781233257243,0.6,0.5,3,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8}",0.9625914410085363,0.9662502119961558,0.9676770874554809,0.9655062468200577,0.002141815909186243,108
0.6051140626271566,0.003925527310449846,0.007143576939900716,0.0002750143812790183,0.6,0.5,3,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0}",0.9588603086664028,0.9650630335236589,0.964440047487139,0.9627877965590669,0.0027887749712841997,134
0.578113873799642,0.007500684211555937,0.007750749588012695,0.0006435251792625823,0.6,0.5,3,6,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.6}",0.9563638419356663,0.9685182882017073,0.9641223359149753,0.9630014886841162,0.00502492884823343,129
0.619340976079305,0.005349293110694764,0.007844686508178711,0.0005429899260064652,0.6,0.5,3,6,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.8}",0.9608638136695121,0.9683125105998077,0.9678647747187517,0.9656803663293573,0.003410718545858191,104
0.6043823560078939,0.00773685796118677,0.006890932718912761,0.000314943954197075,0.6,0.5,3,6,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 1.0}",0.962473853807451,0.9633783707388771,0.9623641811295155,0.9627388018919478,0.0004544544396256462,135
0.5845610300699869,0.0075563405432259555,0.006952524185180664,0.00028560535665861944,0.6,0.5,3,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6}",0.9593057832551304,0.965811521284414,0.9624783763921081,0.9625318936438841,0.0026562260067741717,138
0.6017905076344808,0.007389563944317388,0.00710304578145345,0.0004765629112177564,0.6,0.5,3,10,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8}",0.9580982531516762,0.9678489456724516,0.9672655322516818,0.9644042436919364,0.004465365257570258,118
0.5923751990000407,0.0023776915821575742,0.007581869761149089,0.00011845690335027656,0.6,0.5,3,10,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0}",0.9604974843122845,0.9657165470066144,0.9621911922663803,0.9628017411950931,0.0021739719942385845,133
0.7874382336934408,0.009170190002434117,0.006782213846842448,0.0005966935248162162,0.6,0.5,4,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.6}",0.967545932500424,0.9716547006614281,0.9694906439029904,0.9695637590216141,0.0016781941317278832,64
0.7933573722839355,0.009809950719966702,0.007568915685017903,0.000267377433756631,0.6,0.5,4,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",0.9671185482503251,0.9754627169427328,0.9716207812764995,0.9714006821565192,0.0034100459927300522,31
0.8045629660288492,0.009067936630685164,0.007941722869873047,0.00040384987376956307,0.6,0.5,4,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 1.0}",0.9652190626943299,0.968421052631579,0.9625055119000508,0.9653818757419866,0.0024177519314378913,110
0.734810988108317,0.006866885899491561,0.007269700368245442,0.0005960956976994532,0.6,0.5,4,6,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.6}",0.9628989767652212,0.9740742834529934,0.9684753236474645,0.9684828612885598,0.004562302964035204,80
0.7997565269470215,0.033895331485619545,0.006587505340576172,0.00015262104210738502,0.6,0.5,4,6,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.8}",0.9664198089207983,0.9737463960653514,0.970707219175759,0.9702911413873029,0.0030055016598695273,51
0.8095752398173014,0.019415151539931837,0.00733796755472819,0.0010767162061715266,0.6,0.5,4,6,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 1.0}",0.9640092712985472,0.9733845892927808,0.9660806150715133,0.9678248252209473,0.0040212642006622005,83
0.7184476852416992,0.012732802779375493,0.007359027862548828,0.0006459125858324519,0.6,0.5,4,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.6}",0.9677064842557521,0.9737509186500083,0.9682378879529651,0.9698984302862419,0.0027327455567700797,58
